x_a,y_a,z_a,x_g,y_g,z_g
0.23274565,-0.06379047,0.6124916,-0.22503711,0.0015978967,0.24021713
0.23274565,-0.06379047,0.6124916,-0.18775286,0.013315806,0.21012342
0.2656585,0.11199324,0.43702984,-0.11345066,0.04314321,0.15180019
0.2656585,0.11199324,0.43702984,-0.11345066,0.04314321,0.15180019
0.2656585,0.11199324,0.43702984,-0.090014845,0.055127434,0.1272991
0.09876335,0.3138223,0.50845146,-0.058056913,0.06498113,0.0958738
0.10105479,0.30613935,0.5085888,-0.054062173,0.059388492,0.075101145
0.10299432,0.29868245,0.50868225,-0.04527374,0.051931642,0.04926848
0.0013076067,0.26729113,0.43930817,-0.009054748,0.04580637,0.018109497
-0.028901935,0.15282407,0.51594734,0.038615838,0.032756884,-0.014114754
-0.08964062,0.12637965,0.590209,0.05832323,0.029028457,-0.029827405
-0.1725359,0.12339024,0.6359625,0.09321064,0.01784318,-0.062051654
-0.16781712,0.2022126,0.42766857,0.09827065,-0.018375812,-0.094009586
-0.125435,0.15280238,0.25249863,0.08894958,-0.030360037,-0.09720538
-0.08209646,0.00044995546,0.07727432,0.07803062,-0.033023197,-0.09321064
-0.05925131,-0.06702368,-0.0067691803,0.103863284,-0.013848438,-0.090014845
-0.037175298,0.283484,-0.15309429,0.17763285,0.011984225,-0.0892159
0.05823636,0.3811366,-0.1895628,0.16458336,0.022903185,-0.07829694
0.05823636,0.3811366,-0.1895628,0.15419704,0.029827405,-0.0743022
0.119728684,0.108369105,-0.08485508,0.14274544,0.047670584,-0.076965354
0.119728684,0.108369105,-0.08485508,0.15259913,0.04873585,-0.08522116
0.051297426,0.098921604,-0.02521038,0.18082865,0.036485307,-0.112918034
0.051297426,0.098921604,-0.02521038,0.19547603,0.017044231,-0.13315806
0.027788162,0.14484394,-0.12639523,0.17070863,-0.006924219,-0.15686019
0.041201472,0.061714683,-0.2443304,0.15446335,-0.017310547,-0.16884442
0.002374053,0.012509316,-0.34979248,0.12357068,-0.024501082,-0.18695392
0.002374053,0.012509316,-0.34979248,0.090281166,-0.026631612,-0.20399815
-0.21528256,0.051747926,-0.4579525,0.06018744,-0.03355583,-0.21704763
-0.21528256,0.051747926,-0.4579525,0.041545313,-0.049002163,-0.23089607
-0.37668526,0.26973844,-0.35002708,0.016245283,-0.07350325,-0.24527714
-0.37668526,0.26973844,-0.35002708,-0.019441076,-0.10040118,-0.25726137
-0.3750317,0.03656362,-0.1697321,-0.025300032,-0.12170646,-0.2761698
-0.3750317,0.03656362,-0.1697321,-0.012250541,-0.1454086,-0.30306774
-0.31795895,0.25820798,-0.2543974,-0.013582122,-0.16005598,-0.32756883
-0.31795895,0.25820798,-0.2543974,-0.049801115,-0.16218652,-0.34461305
-0.4957757,0.3237757,-0.14152431,-0.10466223,-0.17070863,-0.3520699
-0.4957757,0.3237757,-0.14152431,-0.13156016,-0.15472966,-0.3225088
-0.47153497,-0.24210057,0.8158188,-0.09347696,-0.11052119,-0.2692456
-0.47153497,-0.24210057,0.8158188,-0.06578008,-0.08282431,-0.26818034
-0.15109754,-0.37015378,1.2422028,-0.034621093,-0.048469532,-0.31638354
-0.15109754,-0.37015378,1.2422028,-0.039414786,0.007456851,-0.32836777
-0.38311267,-0.011157781,0.99022007,-0.091080114,0.050333746,-0.3158509
-0.38311267,-0.011157781,0.99022007,-0.13662016,0.07856325,-0.29214877
-0.4902023,0.06163402,0.65854263,-0.18269286,0.094009586,-0.26365295
-0.4902023,0.06163402,0.65854263,-0.19414444,0.10865697,-0.23276028
-0.42540264,0.00615865,0.3420477,-0.1784318,0.114782244,-0.20532973
-0.39667225,0.00615865,0.2558565,-0.15153387,0.1073254,-0.1933455
-0.37506223,0.02420631,0.2494688,-0.1323591,0.09347696,-0.175236
-0.37506223,0.02420631,0.2494688,-0.12330436,0.07376956,-0.14487597
-0.21700072,-0.23064828,0.3119526,-0.10040118,0.054594804,-0.11638014
-0.12412143,-0.20628738,0.3132944,-0.077231675,0.040213734,-0.08282431
-0.076239824,-0.053732246,0.33313942,-0.043409526,0.037550572,-0.047137953
-0.076239824,-0.053732246,0.33313942,-0.020240024,0.03781689,-0.008255799
-0.08570933,0.07133585,0.36997318,-0.006657903,0.03435478,0.030626353
-0.09768033,0.00429821,0.48968315,0.013315806,0.025832662,0.06231797
-0.09768033,0.00429821,0.48968315,0.02263687,0.018109497,0.07803062
-0.09082091,-0.1033974,0.51605606,0.027164243,0.0077231675,0.09161274
-0.073150754,-0.14664942,0.55373955,0.038615838,-0.01438107,0.1206412
-0.02801776,-0.17561135,0.44983768,0.05006743,-0.027963191,0.15313177
-0.054353952,-0.108573705,0.37561798,0.056991648,-0.03222425,0.18429075
-0.1741687,-0.07503325,0.39419365,0.083090626,-0.033023197,0.21198763
-0.1741687,-0.07503325,0.39419365,0.10066749,-0.036218993,0.2495382
-0.36988592,0.054489315,0.4169197,0.11717909,-0.03701794,0.28122982
-0.36988592,0.054489315,0.4169197,0.13102753,-0.04447479,0.30386668
-0.3881533,0.045153916,0.21752262,0.111852765,-0.052464273,0.31052458
-0.33787513,0.045153916,0.23907089,0.08522116,-0.055926383,0.31664985
-0.30207825,-0.0023382306,0.1749382,0.070307456,-0.052996907,0.32117724
-0.21261394,0.020785272,0.20164585,0.02263687,-0.0314253,0.33795515
-0.20718467,0.06313717,0.23789501,0.009054748,-0.023435818,0.34115094
-0.16397715,0.033983007,0.33159065,-0.0053263223,-0.0058589545,0.33848777
-0.09411991,0.08930163,0.46076393,-0.004261058,0.0077231675,0.32144356
-0.02967441,0.25085545,0.4340372,0.0039947415,0.026365295,0.30306774
0.050445795,0.3887169,0.42856312,-0.0039947415,0.045007423,0.28522456
0.050445795,0.3887169,0.42856312,-0.02876214,0.06737798,0.26551718
0.1777252,0.2438031,0.3170824,-0.033289514,0.07590009,0.2561961
0.2535205,0.29688686,0.26601028,-0.043675844,0.094009586,0.23835292
0.24858618,0.3923965,0.16038895,-0.04181163,0.11638014,0.21704763
0.22746348,0.4268524,0.14390182,-0.038615838,0.1371528,0.20080236
0.21762145,0.50013644,0.12532711,-0.050333746,0.14753912,0.18642128
0.27791607,0.47344255,0.070593834,-0.068176925,0.14647387,0.17337179
0.32867336,0.46819872,0.06574631,-0.08735169,0.14061491,0.14727281
0.32867336,0.46819872,0.06574631,-0.090281166,0.13608754,0.12144015
0.31315386,0.34468246,-0.08500576,-0.082025364,0.13741912,0.10013486
0.31315386,0.34468246,-0.08500576,-0.058589544,0.12783173,0.07643273
0.19634461,0.30906796,-0.21775436,-0.046072688,0.11318435,0.061519023
0.15760362,0.28287572,-0.25529575,-0.04660532,0.092944324,0.051931642
0.14347637,0.2444515,-0.27158737,-0.05352954,0.06844324,0.04181163
0.13881671,0.18554467,-0.1997261,-0.06684534,0.045007423,0.03542004
0.09526408,0.08113572,-0.2069273,-0.07483483,0.023435818,0.040480047
0.10908687,-0.025169894,-0.2073412,-0.09187906,0.0029294773,0.045007423
0.05329275,-0.10955134,-0.114328384,-0.11265171,-0.011451593,0.04314321
0.05329275,-0.10955134,-0.114328384,-0.10865697,-0.020772656,0.038615838
-0.24191308,-0.26243573,0.083465576,-0.073236935,-0.02956109,0.03914847
-0.24191308,-0.26243573,0.083465576,-0.032490566,-0.03009372,0.040746365
-0.6946448,-0.07841882,0.33103657,-0.0127831735,-0.03222425,0.05486112
-0.9553695,-0.064223886,0.5254164,-0.023169503,-0.03355583,0.082025364
-1.2592708,-0.0901397,0.70745564,-0.057790596,-0.03435478,0.11345066
-1.5027016,-0.33002675,1.0202875,-0.08841695,-0.05006743,0.15659387
-1.6018372,-0.69167733,1.4578094,-0.082025364,-0.06924219,0.21544974
-1.5142176,-0.8482208,1.8366747,-0.049002163,-0.0793622,0.25406557
-1.3875849,-0.89155424,1.9030762,-0.02743056,-0.09241169,0.25220135
-1.1707654,-0.8604859,1.8123093,-0.04926848,-0.098004326,0.24021713
-0.97146606,-0.84747666,1.5888367,-0.057257965,-0.09640643,0.23196134
-0.97146606,-0.84747666,1.5888367,-0.036751624,-0.075101145,0.23462449
-0.2942145,0.25405967,0.68106365,0.06018744,-0.01438107,0.27510455
-0.2942145,0.25405967,0.68106365,0.07563378,0.0127831735,0.283893
-0.2942145,0.25405967,0.68106365,0.076166406,0.042077947,0.28442562
-0.11978817,0.7680291,-0.17075157,0.052996907,0.09933591,0.2860235
0.03890896,0.6053945,-0.39747524,-0.01784318,0.15100123,0.32410672
0.19453454,0.4519472,-0.57465076,-0.07856325,0.19281286,0.376571
0.19453454,0.4519472,-0.57465076,-0.12117383,0.20719394,0.39414784
0.64561653,-0.049828976,-0.14862633,-0.09374327,0.22583607,0.4114584
1.0245372,0.18010816,0.27589035,-0.014913702,0.23435818,0.40852892
1.116817,0.33091533,0.2908907,0.08335695,0.23435818,0.38695732
1.116817,0.33091533,0.2908907,0.1355549,0.19813919,0.34647727
1.2879627,0.8555332,0.119989395,0.124902256,0.16911073,0.31158987
1.2879627,0.8555332,0.119989395,0.11664646,0.095074855,0.2609898
1.0147061,0.0710406,0.27274323,0.18295917,-0.02396845,0.22370553
1.2890211,-0.008561529,0.3339014,0.22610238,-0.09933591,0.18775286
1.3499734,0.026099086,0.10881424,0.32304144,-0.26205507,0.038615838
1.3499734,0.026099086,0.10881424,0.3651194,-0.35952675,-0.13315806
1.5795496,1.2264328,-0.9481783,0.34168357,-0.33316147,-0.18748654
1.5795496,1.2264328,-0.9481783,0.15153387,-0.2031992,-0.01304949
2.4673705,2.2460356,0.10846424,-0.2545982,-0.15073492,0.083090626
2.4673705,2.2460356,0.10846424,-0.644485,-0.04926848,0.091080114
2.5156362,0.7678704,1.4299707,-0.8135957,0.08335695,0.09880328
2.5156362,0.7678704,1.4299707,-0.8111989,0.19920446,0.06551377
1.544524,0.45796815,-0.3769064,-0.77151775,0.31984565,-0.025832662
1.544524,0.45796815,-0.3769064,-0.8178568,0.33768883,-0.0892159
0.7614054,0.851001,-1.1050911,-0.90946954,0.33103094,-0.076166406
0.7614054,0.851001,-1.1050911,-1.0245181,0.31798145,-0.04234426
0.80440664,-0.45019704,-0.24624157,-1.0378339,0.34461305,-0.046072688
0.45964158,-0.97452724,-0.1265316,-0.9009474,0.34487936,-0.23382555
