gen_user,test_user,window_idx,anomaly_percentage
1,28,0,0.11521
1,28,1,0.13275
1,28,2,0.0855
1,28,3,0.07775
1,28,4,0.09234
1,28,5,0.11738
1,28,6,0.16319
1,28,7,0.10894
1,28,8,0.10888
1,28,9,0.12378
1,28,10,0.12092
1,28,11,0.09373
1,28,12,0.09928
1,28,13,0.14948
1,28,14,0.10835
1,28,15,0.12992
1,28,16,0.16826
1,28,17,0.12906
1,28,18,0.10019
1,28,19,0.06875
1,28,20,0.09364
1,28,21,0.09961
1,28,22,0.0724
1,28,23,0.06336
1,28,24,0.10505
1,28,25,0.13405
1,28,26,0.07586
1,28,27,0.12064
1,28,28,0.126
1,28,29,0.13392
1,28,30,0.13265
1,28,31,0.21058
1,29,0,0.11521
1,29,1,0.13275
1,29,2,0.0855
1,29,3,0.07775
1,29,4,0.09234
1,29,5,0.11738
1,29,6,0.16319
1,29,7,0.10894
1,29,8,0.10888
1,29,9,0.12378
1,29,10,0.12092
1,29,11,0.09373
1,29,12,0.09928
1,29,13,0.14948
1,29,14,0.10835
1,29,15,0.12992
1,29,16,0.16826
1,29,17,0.12906
1,29,18,0.10019
1,29,19,0.06875
1,29,20,0.09364
1,29,21,0.09961
1,29,22,0.0724
1,29,23,0.06336
1,29,24,0.10505
1,29,25,0.13405
1,29,26,0.07586
1,29,27,0.12064
1,29,28,0.126
1,29,29,0.13392
1,29,30,0.13265
1,29,31,0.21058
1,35,0,0.11521
1,35,1,0.13275
1,35,2,0.0855
1,35,3,0.07775
1,35,4,0.09234
1,35,5,0.11738
1,35,6,0.16319
1,35,7,0.10894
1,35,8,0.10888
1,35,9,0.12378
1,35,10,0.12092
1,35,11,0.09373
1,35,12,0.09928
1,35,13,0.14948
1,35,14,0.10835
1,35,15,0.12992
1,35,16,0.16826
1,35,17,0.12906
1,35,18,0.10019
1,35,19,0.06875
1,35,20,0.09364
1,35,21,0.09961
1,35,22,0.0724
1,35,23,0.06336
1,35,24,0.10505
1,35,25,0.13405
1,35,26,0.07586
1,35,27,0.12064
1,35,28,0.126
1,35,29,0.13392
1,35,30,0.13265
1,35,31,0.21058
1,36,0,0.11521
1,36,1,0.13275
1,36,2,0.0855
1,36,3,0.07775
1,36,4,0.09234
1,36,5,0.11738
1,36,6,0.16319
1,36,7,0.10894
1,36,8,0.10888
1,36,9,0.12378
1,36,10,0.12092
1,36,11,0.09373
1,36,12,0.09928
1,36,13,0.14948
1,36,14,0.10835
1,36,15,0.12992
1,36,16,0.16826
1,36,17,0.12906
1,36,18,0.10019
1,36,19,0.06875
1,36,20,0.09364
1,36,21,0.09961
1,36,22,0.0724
1,36,23,0.06336
1,36,24,0.10505
1,36,25,0.13405
1,36,26,0.07586
1,36,27,0.12064
1,36,28,0.126
1,36,29,0.13392
1,36,30,0.13265
1,36,31,0.21058
1,37,0,0.11521
1,37,1,0.13275
1,37,2,0.0855
1,37,3,0.07775
1,37,4,0.09234
1,37,5,0.11738
1,37,6,0.16319
1,37,7,0.10894
1,37,8,0.10888
1,37,9,0.12378
1,37,10,0.12092
1,37,11,0.09373
1,37,12,0.09928
1,37,13,0.14948
1,37,14,0.10835
1,37,15,0.12992
1,37,16,0.16826
1,37,17,0.12906
1,37,18,0.10019
1,37,19,0.06875
1,37,20,0.09364
1,37,21,0.09961
1,37,22,0.0724
1,37,23,0.06336
1,37,24,0.10505
1,37,25,0.13405
1,37,26,0.07586
1,37,27,0.12064
1,37,28,0.126
1,37,29,0.13392
1,37,30,0.13265
1,37,31,0.21058
1,38,0,0.11521
1,38,1,0.13275
1,38,2,0.0855
1,38,3,0.07775
1,38,4,0.09234
1,38,5,0.11738
1,38,6,0.16319
1,38,7,0.10894
1,38,8,0.10888
1,38,9,0.12378
1,38,10,0.12092
1,38,11,0.09373
1,38,12,0.09928
1,38,13,0.14948
1,38,14,0.10835
1,38,15,0.12992
1,38,16,0.16826
1,38,17,0.12906
1,38,18,0.10019
1,38,19,0.06875
1,38,20,0.09364
1,38,21,0.09961
1,38,22,0.0724
1,38,23,0.06336
1,38,24,0.10505
1,38,25,0.13405
1,38,26,0.07586
1,38,27,0.12064
1,38,28,0.126
1,38,29,0.13392
1,38,30,0.13265
1,38,31,0.21058
1,39,0,0.11521
1,39,1,0.13275
1,39,2,0.0855
1,39,3,0.07775
1,39,4,0.09234
1,39,5,0.11738
1,39,6,0.16319
1,39,7,0.10894
1,39,8,0.10888
1,39,9,0.12378
1,39,10,0.12092
1,39,11,0.09373
1,39,12,0.09928
1,39,13,0.14948
1,39,14,0.10835
1,39,15,0.12992
1,39,16,0.16826
1,39,17,0.12906
1,39,18,0.10019
1,39,19,0.06875
1,39,20,0.09364
1,39,21,0.09961
1,39,22,0.0724
1,39,23,0.06336
1,39,24,0.10505
1,39,25,0.13405
1,39,26,0.07586
1,39,27,0.12064
1,39,28,0.126
1,39,29,0.13392
1,39,30,0.13265
1,39,31,0.21058
1,40,0,0.11521
1,40,1,0.13275
1,40,2,0.0855
1,40,3,0.07775
1,40,4,0.09234
1,40,5,0.11738
1,40,6,0.16319
1,40,7,0.10894
1,40,8,0.10888
1,40,9,0.12378
1,40,10,0.12092
1,40,11,0.09373
1,40,12,0.09928
1,40,13,0.14948
1,40,14,0.10835
1,40,15,0.12992
1,40,16,0.16826
1,40,17,0.12906
1,40,18,0.10019
1,40,19,0.06875
1,40,20,0.09364
1,40,21,0.09961
1,40,22,0.0724
1,40,23,0.06336
1,40,24,0.10505
1,40,25,0.13405
1,40,26,0.07586
1,40,27,0.12064
1,40,28,0.126
1,40,29,0.13392
1,40,30,0.13265
1,40,31,0.21058
1,41,0,0.11521
1,41,1,0.13275
1,41,2,0.0855
1,41,3,0.07775
1,41,4,0.09234
1,41,5,0.11738
1,41,6,0.16319
1,41,7,0.10894
1,41,8,0.10888
1,41,9,0.12378
1,41,10,0.12092
1,41,11,0.09373
1,41,12,0.09928
1,41,13,0.14948
1,41,14,0.10835
1,41,15,0.12992
1,41,16,0.16826
1,41,17,0.12906
1,41,18,0.10019
1,41,19,0.06875
1,41,20,0.09364
1,41,21,0.09961
1,41,22,0.0724
1,41,23,0.06336
1,41,24,0.10505
1,41,25,0.13405
1,41,26,0.07586
1,41,27,0.12064
1,41,28,0.126
1,41,29,0.13392
1,41,30,0.13265
1,41,31,0.21058
1,42,0,0.11521
1,42,1,0.13275
1,42,2,0.0855
1,42,3,0.07775
1,42,4,0.09234
1,42,5,0.11738
1,42,6,0.16319
1,42,7,0.10894
1,42,8,0.10888
1,42,9,0.12378
1,42,10,0.12092
1,42,11,0.09373
1,42,12,0.09928
1,42,13,0.14948
1,42,14,0.10835
1,42,15,0.12992
1,42,16,0.16826
1,42,17,0.12906
1,42,18,0.10019
1,42,19,0.06875
1,42,20,0.09364
1,42,21,0.09961
1,42,22,0.0724
1,42,23,0.06336
1,42,24,0.10505
1,42,25,0.13405
1,42,26,0.07586
1,42,27,0.12064
1,42,28,0.126
1,42,29,0.13392
1,42,30,0.13265
1,42,31,0.21058
1,43,0,0.11521
1,43,1,0.13275
1,43,2,0.0855
1,43,3,0.07775
1,43,4,0.09234
1,43,5,0.11738
1,43,6,0.16319
1,43,7,0.10894
1,43,8,0.10888
1,43,9,0.12378
1,43,10,0.12092
1,43,11,0.09373
1,43,12,0.09928
1,43,13,0.14948
1,43,14,0.10835
1,43,15,0.12992
1,43,16,0.16826
1,43,17,0.12906
1,43,18,0.10019
1,43,19,0.06875
1,43,20,0.09364
1,43,21,0.09961
1,43,22,0.0724
1,43,23,0.06336
1,43,24,0.10505
1,43,25,0.13405
1,43,26,0.07586
1,43,27,0.12064
1,43,28,0.126
1,43,29,0.13392
1,43,30,0.13265
1,43,31,0.21058
1,44,0,0.11521
1,44,1,0.13275
1,44,2,0.0855
1,44,3,0.07775
1,44,4,0.09234
1,44,5,0.11738
1,44,6,0.16319
1,44,7,0.10894
1,44,8,0.10888
1,44,9,0.12378
1,44,10,0.12092
1,44,11,0.09373
1,44,12,0.09928
1,44,13,0.14948
1,44,14,0.10835
1,44,15,0.12992
1,44,16,0.16826
1,44,17,0.12906
1,44,18,0.10019
1,44,19,0.06875
1,44,20,0.09364
1,44,21,0.09961
1,44,22,0.0724
1,44,23,0.06336
1,44,24,0.10505
1,44,25,0.13405
1,44,26,0.07586
1,44,27,0.12064
1,44,28,0.126
1,44,29,0.13392
1,44,30,0.13265
1,44,31,0.21058
1,45,0,0.11521
1,45,1,0.13275
1,45,2,0.0855
1,45,3,0.07775
1,45,4,0.09234
1,45,5,0.11738
1,45,6,0.16319
1,45,7,0.10894
1,45,8,0.10888
1,45,9,0.12378
1,45,10,0.12092
1,45,11,0.09373
1,45,12,0.09928
1,45,13,0.14948
1,45,14,0.10835
1,45,15,0.12992
1,45,16,0.16826
1,45,17,0.12906
1,45,18,0.10019
1,45,19,0.06875
1,45,20,0.09364
1,45,21,0.09961
1,45,22,0.0724
1,45,23,0.06336
1,45,24,0.10505
1,45,25,0.13405
1,45,26,0.07586
1,45,27,0.12064
1,45,28,0.126
1,45,29,0.13392
1,45,30,0.13265
1,45,31,0.21058
1,46,0,0.11521
1,46,1,0.13275
1,46,2,0.0855
1,46,3,0.07775
1,46,4,0.09234
1,46,5,0.11738
1,46,6,0.16319
1,46,7,0.10894
1,46,8,0.10888
1,46,9,0.12378
1,46,10,0.12092
1,46,11,0.09373
1,46,12,0.09928
1,46,13,0.14948
1,46,14,0.10835
1,46,15,0.12992
1,46,16,0.16826
1,46,17,0.12906
1,46,18,0.10019
1,46,19,0.06875
1,46,20,0.09364
1,46,21,0.09961
1,46,22,0.0724
1,46,23,0.06336
1,46,24,0.10505
1,46,25,0.13405
1,46,26,0.07586
1,46,27,0.12064
1,46,28,0.126
1,46,29,0.13392
1,46,30,0.13265
1,46,31,0.21058
1,48,0,0.11521
1,48,1,0.13275
1,48,2,0.0855
1,48,3,0.07775
1,48,4,0.09234
1,48,5,0.11738
1,48,6,0.16319
1,48,7,0.10894
1,48,8,0.10888
1,48,9,0.12378
1,48,10,0.12092
1,48,11,0.09373
1,48,12,0.09928
1,48,13,0.14948
1,48,14,0.10835
1,48,15,0.12992
1,48,16,0.16826
1,48,17,0.12906
1,48,18,0.10019
1,48,19,0.06875
1,48,20,0.09364
1,48,21,0.09961
1,48,22,0.0724
1,48,23,0.06336
1,48,24,0.10505
1,48,25,0.13405
1,48,26,0.07586
1,48,27,0.12064
1,48,28,0.126
1,48,29,0.13392
1,48,30,0.13265
1,48,31,0.21058
1,49,0,0.11521
1,49,1,0.13275
1,49,2,0.0855
1,49,3,0.07775
1,49,4,0.09234
1,49,5,0.11738
1,49,6,0.16319
1,49,7,0.10894
1,49,8,0.10888
1,49,9,0.12378
1,49,10,0.12092
1,49,11,0.09373
1,49,12,0.09928
1,49,13,0.14948
1,49,14,0.10835
1,49,15,0.12992
1,49,16,0.16826
1,49,17,0.12906
1,49,18,0.10019
1,49,19,0.06875
1,49,20,0.09364
1,49,21,0.09961
1,49,22,0.0724
1,49,23,0.06336
1,49,24,0.10505
1,49,25,0.13405
1,49,26,0.07586
1,49,27,0.12064
1,49,28,0.126
1,49,29,0.13392
1,49,30,0.13265
1,49,31,0.21058
2,1,0,0.43058
2,1,1,0.4453
2,1,2,0.46026
2,1,3,0.39768
2,1,4,0.40417
2,1,5,0.43573
2,1,6,0.45795
2,1,7,0.45177
2,1,8,0.48829
2,1,9,0.38813
2,1,10,0.39691
2,1,11,0.43247
2,1,12,0.41157
2,1,13,0.44399
2,1,14,0.41608
2,1,15,0.44668
2,1,16,0.44108
2,1,17,0.42718
2,1,18,0.43375
2,1,19,0.44939
2,1,20,0.50888
2,1,21,0.49046
2,1,22,0.44436
2,1,23,0.47038
2,1,24,0.4237
2,1,25,0.44133
2,1,26,0.4468
2,1,27,0.41876
2,1,28,0.45778
2,2,0,0.43058
2,2,1,0.4453
2,2,2,0.46026
2,2,3,0.39768
2,2,4,0.40417
2,2,5,0.43573
2,2,6,0.45795
2,2,7,0.45177
2,2,8,0.48829
2,2,9,0.38813
2,2,10,0.39691
2,2,11,0.43247
2,2,12,0.41157
2,2,13,0.44399
2,2,14,0.41608
2,2,15,0.44668
